location,BUK,BUK Registrace,BUK guest,Buben 2.4G,O2-Internet_9D7,Simon,iPhone (Артём)
third_right_kitchen,-81.0,unset,unset,unset,unset,unset,unset
third_right_kitchen,unset,unset,unset,unset,unset,unset,-47.0
third_right_kitchen,unset,unset,unset,-63.0,unset,unset,unset
third_right_kitchen,unset,unset,-80.0,unset,unset,unset,unset
third_right_kitchen,unset,unset,unset,unset,unset,-71.0,unset
third_right_kitchen,unset,unset,unset,-71.0,unset,unset,unset
third_right_kitchen,-87.0,unset,unset,unset,unset,unset,unset
third_right_kitchen,unset,unset,unset,unset,unset,unset,-48.0
third_right_kitchen,unset,-63.0,unset,unset,unset,unset,unset
third_right_kitchen,unset,unset,-65.0,unset,unset,unset,unset
third_right_kitchen,unset,unset,unset,unset,unset,-75.0,unset
third_right_kitchen,unset,unset,unset,-62.0,unset,unset,unset
third_right_kitchen,-70.0,unset,unset,unset,unset,unset,unset
third_right_kitchen,unset,unset,unset,unset,unset,unset,-46.0
third_right_kitchen,unset,-60.0,unset,unset,unset,unset,unset
third_right_kitchen,unset,unset,unset,-58.0,unset,unset,unset
third_right_kitchen,unset,unset,unset,unset,unset,-74.0,unset
third_right_kitchen,unset,unset,-74.0,unset,unset,unset,unset
third_right_kitchen,-60.0,unset,unset,unset,unset,unset,unset
third_right_kitchen,unset,-65.0,unset,unset,unset,unset,unset
third_right_kitchen,unset,unset,unset,unset,unset,unset,-49.0
third_right_kitchen,unset,unset,unset,-74.0,unset,unset,unset
third_right_kitchen,unset,unset,-79.0,unset,unset,unset,unset
third_right_kitchen,unset,unset,unset,unset,unset,-80.0,unset
third_right_kitchen,unset,unset,unset,unset,unset,unset,-47.0
third_right_kitchen,-72.0,unset,unset,unset,unset,unset,unset
third_right_kitchen,unset,-71.0,unset,unset,unset,unset,unset
third_right_kitchen,unset,-65.0,unset,unset,unset,unset,unset
third_right_kitchen,unset,unset,unset,unset,unset,-77.0,unset
third_right_kitchen,unset,unset,-65.0,unset,unset,unset,unset
third_right_kitchen,-70.0,unset,unset,unset,unset,unset,unset
third_right_kitchen,unset,unset,unset,unset,unset,unset,-45.0
third_right_kitchen,unset,unset,unset,-73.0,unset,unset,unset
third_right_kitchen,-67.0,unset,unset,unset,unset,unset,unset
third_right_kitchen,unset,unset,unset,unset,unset,-76.0,unset
third_right_kitchen,unset,unset,-69.0,unset,unset,unset,unset
third_right_kitchen,unset,unset,unset,unset,unset,unset,-47.0
third_right_kitchen,unset,-83.0,unset,unset,unset,unset,unset
third_right_kitchen,unset,unset,unset,-82.0,unset,unset,unset
third_right_kitchen,unset,unset,unset,-76.0,unset,unset,unset
third_right_kitchen,unset,unset,unset,unset,unset,-75.0,unset
third_right_kitchen,unset,unset,-57.0,unset,unset,unset,unset
third_right_kitchen,-74.0,unset,unset,unset,unset,unset,unset
third_right_kitchen,unset,-78.0,unset,unset,unset,unset,unset
third_right_kitchen,unset,unset,unset,unset,unset,unset,-51.0
third_right_kitchen,unset,unset,unset,-64.0,unset,unset,unset
third_right_kitchen,unset,unset,unset,unset,unset,-73.0,unset
third_right_kitchen,unset,unset,-60.0,unset,unset,unset,unset
third_right_kitchen,-64.0,unset,unset,unset,unset,unset,unset
third_right_kitchen,unset,-78.0,unset,unset,unset,unset,unset
third_right_kitchen,unset,unset,unset,unset,unset,unset,-44.0
third_right_kitchen,unset,unset,-81.0,unset,unset,unset,unset
third_right_kitchen,unset,-70.0,unset,unset,unset,unset,unset
